model:model/t1c0.1-t2c0.01-lr0.15-decay0.95-gau3-ep10-gr10.pkl
input_data:sample_data/input.dat
output_dir:output/out1.txt
dataset length: 3000
features per example: 136
(誤差平均, 誤差分散), ニューロン使用率, 階層数, マップ数, ニューロン数
(113.1063, 43.39544),1.1905,4,18,150
header layer 0 1 2 3 (y,x)
[1070001-1075000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,1)
[1075001-1080000] 2 root root(0,3) None None (1,1)
[1080001-1085000] 2 root root(0,3) None None (0,0)
[1085001-1090000] 3 root root(0,3) root(0,3)(0,1) None (1,1)
[1090001-1095000] 3 root root(0,3) root(0,3)(2,0) None (1,2)
[1095001-1100000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[1100001-1105000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,3)
[1105001-1110000] 2 root root(0,3) None None (1,0)
[1110001-1115000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,2)
[1115001-1120000] 3 root root(0,3) root(0,3)(2,0) None (1,1)
[1120001-1125000] 3 root root root(0,3) root(1,0) (0,3)
[1125001-1130000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,0)
[1130001-1135000] 2 root root root(0,3) root(0,3)(2,0) (0,0)
[1135001-1140000] 2 root root root(0,3) root(1,0) (0,0)
[1140001-1145000] 2 root root(0,3) None None (0,0)
[1145001-1150000] 2 root root(0,3) None None (1,0)
[1150001-1155000] 3 root root(0,3) root(0,3)(2,0) None (1,2)
[1155001-1160000] 3 root root(0,3) root(0,3)(2,0) None (0,0)
[1160001-1165000] 3 root root(0,3) root(0,3)(2,0) None (0,0)
[1165001-1170000] 3 root root(0,3) root(0,3)(2,0) None (1,1)
[1170001-1175000] 2 root root(0,3) None None (0,0)
[1175001-1180000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[1180001-1185000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[1185001-1190000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,3)
[1190001-1195000] 2 root root(0,3) None None (0,0)
[1195001-1200000] 3 root root(0,3) root(0,3)(2,0) None (0,4)
[1200001-1205000] 3 root root(0,3) root(0,3)(2,0) None (0,3)
[1205001-1210000] 3 root root(0,3) root(0,3)(2,0) None (1,3)
[1210001-1215000] 3 root root(0,3) root(0,3)(2,0) None (0,0)
[1215001-1220000] 3 root root(0,3) root(0,3)(2,0) None (0,1)
[1220001-1225000] 3 root root(0,3) root(0,3)(2,0) None (0,4)
[1225001-1230000] 3 root root(0,3) root(0,3)(2,0) None (0,2)
[1230001-1235000] 3 root root(0,3) root(0,3)(2,0) None (0,1)
[1235001-1240000] 3 root root(0,3) root(0,3)(2,0) None (0,1)
[1240001-1245000] 3 root root(0,3) root(0,3)(2,0) None (0,2)
[1245001-1250000] 3 root root(0,3) root(0,3)(2,0) None (1,3)
[1250001-1255000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[1255001-1260000] 3 root root(0,3) root(0,3)(2,0) None (0,4)
[1260001-1265000] 3 root root(0,3) root(0,3)(2,0) None (0,4)
[1265001-1270000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,1)
[1270001-1275000] 2 root root(0,3) None None (2,1)
[1275001-1280000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,2)
[1280001-1285000] 3 root root(0,3) root(0,3)(2,0) None (1,3)
[1285001-1290000] 2 root root(0,3) None None (0,0)
[1290001-1295000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,1)
[1295001-1300000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,0) (3,0)
[1300001-1305000] 2 root root(0,3) None None (1,1)
[1305001-1310000] 3 root root root(0,3) root(1,0) (0,3)
[1310001-1315000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,3)
[1315001-1320000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,2)
[1320001-1325000] 2 root root(0,3) None None (1,1)
[1325001-1330000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,1)
[1330001-1335000] 2 root root(0,3) None None (1,0)
[1335001-1340000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,3)
[1340001-1345000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,3)
[1345001-1350000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,0) (1,0)
[1350001-1355000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,3)
[1355001-1360000] 3 root root(0,3) root(0,3)(2,0) None (1,3)
[1360001-1365000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[1365001-1370000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,0)
[1370001-1375000] 3 root root(0,3) root(0,3)(2,0) None (0,4)
[1375001-1380000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,0)
[1380001-1385000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,1)
[1385001-1390000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,1)
[1390001-1395000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,3)
[1395001-1400000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,3)
[1400001-1405000] 2 root root(0,3) None None (2,1)
[1405001-1410000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,2)
[1410001-1415000] 2 root root(0,3) None None (1,0)
[1415001-1420000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,3)
[1420001-1425000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,3)
[1425001-1430000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,2)
[1430001-1435000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,2)
[1435001-1440000] 2 root root(0,3) None None (0,0)
[1440001-1445000] 2 root root(0,3) None None (0,0)
[1445001-1450000] 2 root root(0,3) None None (1,1)
[1450001-1455000] 2 root root(0,3) None None (2,1)
[1455001-1460000] 2 root root(0,3) None None (0,0)
[1460001-1465000] 2 root root(0,3) None None (1,1)
[1465001-1470000] 3 root root(0,3) root(0,3)(2,0) None (1,2)
[1470001-1475000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,3)
[1475001-1480000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,1)
[1480001-1485000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,3)
[1485001-1490000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,3)
[1490001-1495000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,2)
[1495001-1500000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,3)
[1500001-1505000] 2 root root(0,3) None None (0,0)
[1505001-1510000] 2 root root(0,3) None None (0,0)
[1510001-1515000] 2 root root(0,3) None None (1,0)
[1515001-1520000] 2 root root(0,3) None None (1,1)
[1520001-1525000] 3 root root(0,3) root(0,3)(2,0) None (1,3)
[1525001-1530000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,3)
[1530001-1535000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,3)
[1535001-1540000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,3)
[1540001-1545000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,3)
[1545001-1550000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,3)
[1550001-1555000] 2 root root(0,3) None None (0,0)
[1555001-1560000] 3 root root root(0,3) root(1,0) (1,3)
[1560001-1565000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,2)
[1565001-1570000] 2 root root(0,3) None None (1,1)
[1570001-1575000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,2)
[1575001-1580000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,2)
[1580001-1585000] 2 root root(0,3) None None (1,1)
[1585001-1590000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,1)
